STATION_ID,STATION_FULLNAME,STATION_SHORTNAME,RESERVED,LATITUDE_DEG,LONGITUDE_DEG,ELEVATION_M,ACTIVE
SSIMG,SRRL SolarSIM-G Global Horizontal,SRRL SSIMG,0,39.7423,-105.1785,1828.8,1
SMUDA,Sacramento Municipal Utility District (Anatolia),SMUD Anatolia,0,38.54586,-121.24029,51,0
SCI,San Clemente Island Data,SCID,0,32.9,-118.4833,223,0
AODSTAC0E,Solar Technology Acceleration Center (AOD ESR Level 0),STAC AOD ESR0,0,39.75685,-104.62025,1674,0
AODSTAC1E,Solar Technology Acceleration Center (AOD ESR Level 1.1),STAC AOD ESR1,0,39.75685,-104.62025,1674,0
AODSTAC0S,Solar Technology Acceleration Center (AOD SkyRad Level 0),STAC AOD Sky0,0,39.75685,-104.62025,1674,0
AODSTAC1S,Solar Technology Acceleration Center (AOD SkyRad Level 1.1),STAC AOD Sky1,0,39.75685,-104.62025,1674,0
PWVSTAC,Solar Technology Acceleration Center (GPS-based PWV),STAC PWV,0,39.75685,-104.62025,1674,0
STAC,Solar Technology Acceleration Center (SolarTAC),SolarTAC,0,39.75685,-104.62025,1674,1
SPMD,South Park Mountain Data,SPMD,0,39.27278,-105.62472,2944,0
SS1,Sun Spot One - San Luis Valley (RSR),SunSpot1,0,37.561,-106.0864,2335,0
USVIBOVB,US Virgin Islands Bovoni 2,USVI Bovoni 2,0,18.3055,-64.8763,49,0
USVILONA,US Virgin Islands Longford,USVI Longford,0,17.70799,-64.69328,28,0
UFL,University of Florida,UF,0,29.626968,-82.360851,27.4,1
ULL,University of Louisiana at Lafayette,UL Lafayette,0,30.20506,-92.39793,5,1
UNLV,University of Nevada - Las Vegas,UNLV,0,36.107,-115.1425,615,1
PWVUO,University of Oregon (GPS-based PWV),UO PWV,0,44.0467,-123.0743,133.8,0
UOSMRL,University of Oregon (SRML),UO SRML,0,44.0467,-123.0743,133.8,1
UTPASRL,University of Texas Rio Grande Valley Solar Radiation Lab,UTRGV SRL,0,26.3059,-98.1716,45.4,1
UWSEA,University of Washington (Seattle),UW Seattle,0,47.653871,-122.309481,70,1
PVSUOSMP,UofO PV Resource (Samples),UO PV-Samp,0,44.0467,-123.0743,133.8,1
PVSUO,UofO PV Resource,UO PV,0,44.0467,-123.0743,133.8,1
XECS,Xcel Energy Comanche Station (RSR),XECS,0,38.2098,-104.5724,1490,0
